chembl_id,pref_name,max_phase,smiles,inchi_key_x,ID,SMILES,drug_status,chembl_smiles,inchi_key_y
CHEMBL1950576,DIHYDROSTREPTOMYCIN,4,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,ASXBYYWOLISCLQ-HZYVHMACSA-N,DB11512,OC[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H]([C@H]([C@@H]3NC(=[NH2+])N)O)NC(=[NH2+])N)O[C@H]([C@]2(O)CO)C)[C@H]([C@@H]([C@H]1O)O)[NH2+]C,APPROVED - Phase 4,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,ASXBYYWOLISCLQ-HZYVHMACSA-N
CHEMBL1950649,APADENOSON,3,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC[C@H]4CC[C@H](C(=O)OC)CC4)nc32)[C@H](O)[C@@H]1O,FLEVIENZILQUKB-XTWQNQIISA-N,DB05009,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(C#CC[C@@H]1CC[C@H](CC1)C(=O)OC)nc2N,Phase 3,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC[C@H]4CC[C@H](C(=O)OC)CC4)nc32)[C@H](O)[C@@H]1O,FLEVIENZILQUKB-XTWQNQIISA-N
CHEMBL1950651,EVODENOSON,2,COC(=O)N1CCC(CC#Cc2nc(N)c3ncn([C@@H]4O[C@H](C(=O)NC5CC5)[C@@H](O)[C@H]4O)c3n2)CC1,SQJXTUJMBYVDBB-RQXXJAGISA-N,DB12295,COC(=O)N1CCC(CC1)CC#Cc1nc(N)c2c(n1)n(cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)C(=O)NC1CC1,Phase 2,COC(=O)N1CCC(CC#Cc2nc(N)c3ncn([C@@H]4O[C@H](C(=O)NC5CC5)[C@@H](O)[C@H]4O)c3n2)CC1,SQJXTUJMBYVDBB-RQXXJAGISA-N
CHEMBL1951032,ADP-597,1,COc1c(Nc2ccc(S(C)(=O)=O)nc2C)ncnc1OC1CCN(C(=O)OC(C)C)CC1,WPDCHTSXOPUOII-UHFFFAOYSA-N,DB12084,COc1c(ncnc1Nc1ccc(nc1C)S(=O)(=O)C)OC1CCN(CC1)C(=O)OC(C)C,Phase 1,COc1c(Nc2ccc(S(C)(=O)=O)nc2C)ncnc1OC1CCN(C(=O)OC(C)C)CC1,WPDCHTSXOPUOII-UHFFFAOYSA-N
CHEMBL1951095,ERAVACYCLINE,4,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,HLFSMUUOKPBTSM-ISIOAQNYSA-N,DB12329,O=C(Nc1cc(F)c2c(c1O)C(=O)C1=C([O-])[C@]3([C@@H](C[C@@H]1C2)[C@H]([NH+](C)C)C(=C(C3=O)C(=O)N)[O-])O)C[NH+]1CCCC1,APPROVED - Phase 4,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,HLFSMUUOKPBTSM-ISIOAQNYSA-N
CHEMBL1951143,FIMASARTAN,3,CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,AMEROGPZOLAFBN-UHFFFAOYSA-N,DB09279,CCCCc1nc(C)c(c(=O)n1Cc1ccc(cc1)c1ccccc1C1=[N-]N=NN1)CC(=S)N(C)C,Phase 3,CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,AMEROGPZOLAFBN-UHFFFAOYSA-N
CHEMBL1951575,VIDUPIPRANT,2,CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,PFWVGKROPKKEDW-UHFFFAOYSA-N,DB12272,[O-]C(=O)Cc1cc(Cl)c(cc1F)Oc1ccc(cc1NS(=O)(=O)c1ccc(cc1Cl)C1CC1)C(=O)NC(C)(C)C,Phase 2,CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,PFWVGKROPKKEDW-UHFFFAOYSA-N
CHEMBL1951706,HYDROMORPHINOL,2,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5,AABLHGPVOULICI-BRJGLHKUSA-N,DB01512,O[C@H]1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2[NH+](CC3)C)ccc1O)O,Phase 2,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5,AABLHGPVOULICI-BRJGLHKUSA-N
CHEMBL1952329,SGI-1776,1,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1,MHXGEROHKGDZGO-UHFFFAOYSA-N,DB12494,C[NH+]1CCC(CC1)CNc1ccc2n(n1)c(cn2)c1cccc(c1)OC(F)(F)F,Phase 1,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1,MHXGEROHKGDZGO-UHFFFAOYSA-N
CHEMBL1956285,DSM-265,2,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,OIZSVTOIBNSVOS-UHFFFAOYSA-N,DB12397,Cc1cc(Nc2ccc(cc2)S(F)(F)(F)(F)F)n2c(n1)nc(n2)C(F)(F)C,Phase 2,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,OIZSVTOIBNSVOS-UHFFFAOYSA-N
CHEMBL1956820,GS-9256,2,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(P(=O)(O)Cc6c(F)cccc6F)C[C@H]5CCCCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1Cl,RFGUWOCFYCYEDM-ZOMNBDOOSA-N,DB12876,COc1ccc2c(c1Cl)nc(cc2O[C@@H]1C[C@@H]2N(C1)C(=O)[C@H](CCCCCCC[C@H]1[C@](NC2=O)(C1)P(=O)(Cc1c(F)cccc1F)O)NC(=O)OC1CCCC1)c1csc(n1)NC(C)C,Phase 2,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(P(=O)(O)Cc6c(F)cccc6F)C[C@H]5CCCCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1Cl,RFGUWOCFYCYEDM-ZOMNBDOOSA-N
CHEMBL1957038,IDRONOXIL,2,Oc1ccc(C2=Cc3ccc(O)cc3OC2)cc1,ZZUBHVMHNVYXRR-UHFFFAOYSA-N,DB04915,Oc1ccc(cc1)C1=Cc2c(OC1)cc(cc2)O,Phase 2,Oc1ccc(C2=Cc3ccc(O)cc3OC2)cc1,ZZUBHVMHNVYXRR-UHFFFAOYSA-N
CHEMBL1957287,TEGOBUVIR,2,Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1,XBEQSQDCBSKCHJ-UHFFFAOYSA-N,DB11852,Fc1ccccc1c1nc2-c(n1)cn(cc2)Cc1ccc(nn1)c1ccc(cc1C(F)(F)F)C(F)(F)F,Phase 2,Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1,XBEQSQDCBSKCHJ-UHFFFAOYSA-N
CHEMBL196,ASCORBIC ACID,4,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,DB00126,OC[C@@H]([C@H]1OC(=O)C(=C1[O-])O)O,APPROVED - Phase 4,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
CHEMBL196,ASCORBIC ACID,4,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,DB14483,OC[C@@H]([C@H]1OC(=O)C(=C1[O-])O)O.OC[C@@H]([C@H]1OC(=O)C(=C1[O-])O)O.[Ca+2],APPROVED - Phase 4,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
CHEMBL196003,PROMEGESTONE,2,CCC(=O)[C@@]1(C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C,QFFCYTLOTYIJMR-XMGTWHOFSA-N,DB13602,CCC(=O)[C@@]1(C)CC[C@@H]2[C@]1(C)CCC1=C3CCC(=O)C=C3CC[C@@H]21,Phase 2,CCC(=O)[C@@]1(C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C,QFFCYTLOTYIJMR-XMGTWHOFSA-N
