Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-007-834-568_model_0_ligand,-6.27,-0.65,0.2850,4.223
P4H6__Molport-007-615-060_model_0_ligand,-5.77,-0.52,0.5146,4.182
P4H6__Molport-007-726-521_model_0_ligand,-6.02,-0.41,0.2917,4.806
P4H6__Molport-008-292-964_model_0_ligand,-5.72,-0.76,0.1802,4.864
P4H6__Molport-007-874-485_model_0_ligand,-5.75,0.35,0.4714,5.055
P4H6__Molport-006-380-960_model_0_ligand,-6.30,-1.43,0.1625,5.057
P4H6__Molport-008-362-610_model_0_ligand,-5.37,0.14,0.3744,3.768
P4H6__Molport-008-289-505_model_0_ligand,-5.76,-0.35,0.1454,4.004
P4H6__Molport-008-362-193_model_0_ligand,-5.09,-0.30,0.3656,4.527
P4H6__Molport-007-837-676_model_0_ligand,-6.46,-0.64,0.3413,5.311
P4H6__Molport-007-837-618_model_0_ligand,-6.43,-0.05,0.4189,5.185
P4H6__Molport-008-286-274_model_0_ligand,-6.04,-0.43,0.4443,4.551
P4H6__Molport-007-837-633_model_0_ligand,-6.45,-1.04,0.5523,5.428
P4H6__Molport-007-837-641_model_0_ligand,-5.82,-1.12,0.5530,5.305
P4H6__Molport-008-286-383_model_0_ligand,-6.08,-0.76,0.5305,5.353
P4H6__Molport-008-321-332_model_0_ligand,-6.32,0.71,0.4373,5.030
P4H6__Molport-007-910-612_model_0_ligand,-5.58,0.43,0.2887,4.531
P4H6__Molport-007-722-553_model_0_ligand,-6.54,-0.46,0.2241,4.433
P4H6__Molport-008-340-817_model_0_ligand,-6.80,-0.36,0.2683,4.764
P4H6__Molport-009-497-251_model_0_ligand,-5.08,0.49,0.4891,4.297
P4H6__Molport-008-373-761_model_0_ligand,-5.87,-0.44,0.4773,4.163
P4H6__Molport-008-379-276_model_0_ligand,-5.76,-0.28,0.4853,3.343
P4H6__Molport-008-362-619_model_0_ligand,-5.69,-0.69,0.2190,3.582
P4H6__Molport-008-365-934_model_0_ligand,-5.59,-0.68,0.2538,4.617
P4H6__Molport-009-723-089_model_0_ligand,-5.88,-0.43,0.5663,4.991
P4H6__Molport-009-749-071_model_0_ligand,-5.91,-0.27,0.3379,4.764
P4H6__Molport-009-748-378_model_0_ligand,-6.22,-0.41,0.3896,4.756
P4H6__Molport-016-609-747_model_0_ligand,-4.59,-0.40,0.4788,3.754
