Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-002-606-875_model_0_ligand,9.19,2.37,0.2613,5.605
P4H6__Molport-002-655-451_model_0_ligand,-8.29,-0.35,0.2463,4.389
P4H6__Molport-002-666-474_model_0_ligand,29.97,0.99,0.2226,5.245
P4H6__Molport-002-667-080_model_0_ligand,-6.17,-0.31,0.1175,3.520
P4H6__Molport-002-653-495_model_0_ligand,-8.84,-0.31,0.3165,4.615
P4H6__Molport-002-606-741_model_0_ligand,9.98,2.28,0.3419,5.371
P4H6__Molport-002-686-710_model_0_ligand,7.71,-0.34,0.6313,4.604
P4H6__Molport-002-891-300_model_0_ligand,0.18,-0.27,0.6838,5.893
P4H6__Molport-002-678-292_model_0_ligand,-3.62,-0.21,0.6514,5.671
P4H6__Molport-002-742-672_model_0_ligand,-6.42,0.45,0.1855,5.309
P4H6__Molport-002-678-737_model_0_ligand,-3.35,-0.32,0.4711,5.563
P4H6__Molport-002-674-620_model_0_ligand,-1.07,0.82,0.1681,5.201
P4H6__Molport-002-809-855_model_0_ligand,-6.09,0.19,0.2188,4.773
P4H6__Molport-002-910-367_model_0_ligand,-3.95,0.42,0.4026,3.644
P4H6__Molport-002-895-025_model_0_ligand,-7.87,-0.59,0.4866,5.834
P4H6__Molport-002-915-160_model_0_ligand,-7.48,-0.18,0.5394,4.705
P4H6__Molport-002-940-233_model_0_ligand,-3.47,-0.48,0.4067,5.277
P4H6__Molport-002-864-055_model_0_ligand,6.64,2.29,0.2368,4.502
P4H6__Molport-003-104-854_model_0_ligand,-8.26,-0.31,0.1702,3.796
P4H6__Molport-002-939-833_model_0_ligand,-2.90,1.58,0.2365,4.686
P4H6__Molport-002-757-223_model_0_ligand,-8.40,-0.53,0.3335,6.296
P4H6__Molport-002-990-956_model_0_ligand,-7.54,0.05,0.2737,5.420
P4H6__Molport-002-993-977_model_0_ligand,-8.11,0.39,0.3927,4.956
P4H6__Molport-003-125-209_model_0_ligand,-8.15,-0.13,0.5298,4.955
P4H6__Molport-002-994-393_model_0_ligand,-8.15,-0.41,0.5371,5.897
P4H6__Molport-002-986-099_model_0_ligand,-4.79,1.44,0.2223,5.457
P4H6__Molport-002-971-069_model_0_ligand,-1.64,0.23,0.4669,5.829
P4H6__Molport-003-042-619_model_0_ligand,-1.23,0.77,0.3869,6.057
P4H6__Molport-002-720-461_model_0_ligand,10.79,2.65,0.1910,3.951
P4H6__Molport-003-048-264_model_0_ligand,-3.04,0.09,0.3894,6.072
P4H6__Molport-003-803-580_model_0_ligand,-5.19,-0.28,0.3090,4.464
P4H6__Molport-003-139-040_model_0_ligand,-4.17,0.28,0.2635,5.573
P4H6__Molport-003-163-582_model_0_ligand,-9.49,0.68,0.1750,3.654
P4H6__Molport-003-699-925_model_0_ligand,-6.39,-0.34,0.6764,5.374
P4H6__Molport-003-704-826_model_0_ligand,-6.99,-0.25,0.1685,4.310
P4H6__Molport-003-136-495_model_0_ligand,-6.13,0.22,0.2086,4.940
P4H6__Molport-003-128-279_model_0_ligand,-3.64,0.36,0.4367,6.173
P4H6__Molport-003-142-953_model_0_ligand,-6.13,3.61,0.1799,3.965
P4H6__Molport-004-786-922_model_0_ligand,-7.77,-0.06,0.4482,3.847
P4H6__Molport-003-163-571_model_0_ligand,-7.62,0.85,0.2084,4.458
P4H6__Molport-003-183-404_model_0_ligand,-3.18,-0.16,0.1954,5.250
P4H6__Molport-004-171-219_model_0_ligand,-6.18,1.18,0.1710,5.064
P4H6__Molport-003-812-040_model_0_ligand,-8.61,2.76,0.2485,3.550
P4H6__Molport-004-969-764_model_0_ligand,-0.03,-0.35,0.5045,4.972
P4H6__Molport-004-896-686_model_0_ligand,-6.08,0.06,0.3827,4.906
P4H6__Molport-003-819-922_model_0_ligand,-8.13,-0.33,0.4497,4.110
P4H6__Molport-004-831-350_model_0_ligand,-5.77,0.84,0.3169,5.996
