ligand_id,smiles,no_2og_binary,no_2og_pred_value,no_2og_ligand_iptm
P4H6__Molport-046-980-684,CN(C)Cc1cnc(CC2CCN(CC2)C(=O)c2ncoc2C)cn1,0.836390316,0.018107414,0.954275072
P4H6__Molport-051-651-967,Cc1ccnc(O)c1NCc1cc2cc3OCCOc3cc2[nH]c1=O,0.835252762,-1.33781004,0.970917583
P4H6__Molport-038-421-314,Fc1cnc(C(=O)NCc2ccc3OCCCOc3c2)c(F)c1,0.833812833,-0.470609188,0.978033721
P4H6__Molport-051-448-117,CC(C)N1CCCC2(CCCN2C(=O)c2ncoc2C)C1=O,0.833775401,0.501772404,0.939857662
P4H6__Molport-019-891-948,Fc1cccc(c1)-c1nc(CNC(=O)C2COCCO2)[nH]c1-c1ccccn1,0.832826734,-0.766580105,0.952516556
P4H6__Molport-000-093-145,CCOC(=O)C1(C)NC(C2C1C(=O)N(C2=O)c1cccc(OC)c1)c1ccc(OC)cc1OC,0.831356645,-0.890360355,0.973736465
P4H6__Molport-023-252-365,CC(C)CCN1CC2(CCCN(C2)C(=O)c2cnc(O)cn2)CCC1=O,0.831234634,-0.339807034,0.934731901
P4H6__Molport-003-048-264,Fc1ccc(cc1)-n1ncc2c1ncn(CC(=O)Nc1ccc3OCCOc3c1)c2=O,0.829982162,-1.431917667,0.971019983
P4H6__Molport-035-821-277,O=C(N1CCC(C1)Oc1cccnn1)c1cccc2OCCOc12,0.828649879,0.479931355,0.949997962
P4H6__Molport-008-365-934,CN(CC1COCCO1)Cc1ccc(cc1)-c1nc(cc(=O)[nH]1)-c1cccnc1,0.827970564,-0.732681274,0.946892619
P4H6__Molport-019-892-255,Oc1cc(cc2CN(CCOc12)C(=O)C1CCCO1)-c1cccnc1,0.827716351,0.138898849,0.978858232
P4H6__Molport-047-390-563,CCC(CC)CN1CCOC2(CCN(CC2)c2cncc(n2)C(O)=O)CC1=O,0.826034546,-0.167182207,0.967684746
P4H6__Molport-008-292-964,OC(=O)C1C2CCC(C2)C1C(=O)Nc1ncn(Cc2ccc(F)cc2)n1,0.825871348,0.642581463,0.96365273
P4H6__Molport-002-606-399,CC(C)(C)C(=O)[C@H]1[C@@H]2[C@H]([C@@H]3C=CC=NN13)C(=O)N(C2=O)c1cccc(c1)[N+]([O-])=O,0.824931979,-0.838866711,0.971945524
P4H6__Molport-051-710-617,O=C(NC[C@@H]1[C@H]2CC[C@]3(CN(C[C@H]13)C(=O)c1cocn1)O2)c1ccc2[nH]cnc2c1,0.824827611,-0.308139324,0.948849559
P4H6__Molport-008-289-505,CC(C)C(NC(=O)c1c[nH]c2nc(C)nn2c1=O)c1ccc2OCCCOc2c1,0.824612379,-0.579773426,0.967558026
P4H6__Molport-035-706-480,COc1c(O)cc2oc3cc(O)cc(C)c3c(=O)c2c1O,0.824329972,-1.162271738,0.985470355
P4H6__Molport-047-396-915,Fc1cncc(c1)C(=O)N1CCC2(CC1)CC(=O)N(CC1CCC1)CCO2,0.824143529,-0.3651793,0.963407576
P4H6__Molport-028-578-840,Fc1cncc(c1)C(=O)N1CCC2(C1)CCCN(C1CCOCC1)C2=O,0.824018955,-0.053716898,0.957654953
P4H6__Molport-021-768-983,Cn1cccc1C(=O)N1CC[C@@H]2[C@@H](CCC(=O)N2CCCn2ccnc2)C1,0.823794723,0.221675396,0.944917142
P4H6__Molport-000-436-571,CCOc1cc(\C=C2\SC(=S)N(C(CC(O)=O)C(O)=O)C2=O)ccc1O,0.823229909,-1.289083958,0.962180734
P4H6__Molport-039-116-911,Fc1cccc(c1)-c1nnc(CN2CCC3(COC(=O)O3)CC2)o1,0.822587967,-0.455078602,0.977473736
P4H6__Molport-007-837-641,Cc1ccc(CNC(=O)CCc2c(C)nn(c2C)-c2ccc(nn2)N2CCOCC2)o1,0.822406292,-0.888154984,0.957199454
P4H6__Molport-023-204-798,O=C(Nc1nc(co1)C(=O)Nc1ccc2OCCOc2c1)C1CC1,0.821906149,-0.638007879,0.953876257
P4H6__Molport-047-695-652,OC1(CC(=O)N2CCC3(CCCN(C3)C(=O)c3cscn3)CC2)CCC1,0.821578979,-0.397913456,0.963243723
P4H6__Molport-003-042-619,Clc1cccc(c1)-n1nnc2c1ncn(CC(=O)Nc1ccc3OCCOc3c1)c2=O,0.821553111,-0.883930206,0.96343559
P4H6__Molport-022-379-188,CC(C)C(=O)c1c(O)cc(O)cc1O,0.821308017,0.620826006,0.97930932
P4H6__Molport-051-866-096,CN(C)S(=O)(=O)N1C[C@@H]2CN(C[C@@H]2[C@H]1c1ccccc1C)c1ccc(C)nn1,0.821237206,-0.565799952,0.977189064
P4H6__Molport-002-606-875,COc1ccc(OC)c(c1)N1C(=O)[C@H]2[C@@H]3C=CC=NN3[C@H]([C@H]2C1=O)C(=O)C(C)(C)C,0.82030046,-0.74106288,0.966151297
P4H6__Molport-038-422-514,O=C(N[C@@H]1[C@@H]2CCO[C@@H]2[C@@H]1C1CCCC1)c1cnc([nH]c1=O)C1CC1,0.819913626,-0.847805262,0.968869507
P4H6__Molport-051-910-002,CC1(CCC(=O)Nc2ccc3OCCOc3c2)N=N1,0.819103658,0.444694519,0.975358307
